Gate,State,Origin,Transformation,Review,Decision
Six-study evidence registry,COMPLETE,REPORTED_DIRECT/DONOR_POOL,PARAMETER_MAPPING,USER_REVIEW_REQUIRED,READY
PTA external calibration,COMPLETE,MODEL_INFERRED,EQUATION_APPLICATION,SYSTEM_NORMALIZED,PROVISIONAL PASS
CFR KPC-KP,COMPLETE,REPORTED_DIRECT + MODEL_INFERRED,EQUATION_APPLICATION,SYSTEM_NORMALIZED,READY
CFR OXA-like KP,COMPLETE,REPORTED_DIRECT + MODEL_INFERRED,EQUATION_APPLICATION,SYSTEM_NORMALIZED,READY
India OXA-48 donor CFR,COMPLETE,DONOR_POOL + MODEL_INFERRED,CATEGORICAL_HARMONIZATION,USER_REVIEW_REQUIRED,SENSITIVITY ONLY
French OXA-484 CFR,COMPLETE,DONOR_POOL + MODEL_INFERRED,CATEGORICAL_HARMONIZATION,USER_REVIEW_REQUIRED,VARIANT-SPECIFIC SENSITIVITY
French broad OXA-48 2021 distribution,MISSING,NOT_AVAILABLE,NONE,USER_REVIEW_REQUIRED,NONBLOCKING MISSINGNESS
Convergence,COMPLETE,MODEL_INFERRED,SCENARIO_GENERATION,SYSTEM_NORMALIZED,100000 FINAL / 50000 SCREENING
Multi-seed robustness,COMPLETE,MODEL_INFERRED,SCENARIO_GENERATION,SYSTEM_NORMALIZED,ACCEPTABLE
OAT sensitivity,COMPLETE,MODEL_INFERRED/USER_INPUT,SCENARIO_GENERATION,USER_REVIEW_REQUIRED,READY
Probabilistic sensitivity,COMPLETE,MODEL_INFERRED/USER_INPUT,SCENARIO_GENERATION,USER_REVIEW_REQUIRED,READY
Input/output checksums,COMPLETE,SYSTEM_GENERATED,NONE,SYSTEM_NORMALIZED,LOCKED
Runtime environment record,COMPLETE_WITH_LIMITS,SYSTEM_GENERATED,NONE,SYSTEM_NORMALIZED,LOCKED
Git commit,NOT_AVAILABLE,NOT_AVAILABLE,NONE,USER_REVIEW_REQUIRED,RECORD AFTER IMPORT INTO USER REPOSITORY
Final user approval,PENDING,USER_INPUT,NONE,USER_REVIEW_REQUIRED,REQUIRED FOR V1 RELEASE
