study,design,organism,enzyme,concentration_mg_l,lower_mg_l,upper_mg_l,role,killing_maintained,doi
Coleman 2014,"Hollow-fibre, dynamic",Enterobacteriaceae (8 strains),"ESBL, AmpC, KPC-class serine enzymes",0.3,0.25,0.5,Regrowth threshold: growth resumed once avibactam fell below ~0.3 mg/L,Yes above threshold,10.1128/AAC.00080-14
Coleman 2014,"Hollow-fibre, pulsed exposure",Enterobacteriaceae,Serine beta-lactamases,0.375,0.25,0.5,Pulse of >0.25 and <0.5 mg/L suppressed growth for 24 h with 1 g ceftazidime,Yes,10.1128/AAC.00080-14
Coleman 2014,"Hollow-fibre, single dose",High-level AmpC producer,Derepressed AmpC,0.5,0.5,0.5,1 g/250 mg sufficient for 7 of 8 strains; 2 g/500 mg needed for AmpC,Only at the higher profile,10.1128/AAC.00080-14
Sy & Derendorf 2017,Static time-kill with PK/PD model,Enterobacteriaceae,Serine beta-lactamases,,,,"Modelling framework; effect driven by EC50 of the inhibitor, not a fixed threshold",Concentration-dependent,10.1016/j.cmi.2017.07.020
Bensman 2017,Population PK with target-attainment analysis,Pseudomonas aeruginosa (cystic fibrosis),Mixed,1.0,1.0,1.0,Target expressed as cumulative time above a 1 mg/L threshold,"Target adopted, not tested",10.1128/AAC.00988-17
Das 2019,"Registrational PK/PD, dose selection","Enterobacterales, P. aeruginosa",Serine beta-lactamases,1.0,1.0,1.0,Joint target used to select and validate the licensed regimen: free time above 1 mg/L,Validated against phase 3 outcomes,10.1128/AAC.02187-18
Sy 2019,Model-informed development review,"Enterobacterales, P. aeruginosa",Serine beta-lactamases,1.0,1.0,1.0,States 1 mg/L as the PD threshold and 4 mg/L as the fixed testing concentration,Review,10.1007/s40262-018-0705-y
Zhang 2022,Clinical case series with TDM,"Gram-negative, renal replacement therapy",Mixed,1.0,1.0,1.0,Trough above 1 mg/L used as the adequacy criterion,Clinical response reported,10.1007/s40121-022-00621-z
Kroemer 2023,Hollow-fibre with semi-mechanistic model,Escherichia coli,"CTX-M-15, TEM-4, OXA-244",,,,Synergy characterised by model parameters rather than a fixed threshold,Combination-dependent,10.1128/spectrum.03318-23
Gatti 2022,"Clinical TDM, continuous infusion",Difficult-to-treat P. aeruginosa,Mixed,4.0,4.0,4.0,Steady-state target of Css above 4 mg/L applied in continuous-infusion practice,Microbiological eradication reported,10.3390/antibiotics11121739
EUCAST,Susceptibility testing convention,"Enterobacterales, P. aeruginosa",n/a,4.0,4.0,4.0,Fixed avibactam concentration at which ceftazidime MICs are determined,Not an exposure-response value,EUCAST breakpoint tables v14.0
