scenario_id,layer,kind,definition,note
T1_point_1,target,point mass,1 mg/L (regulatory target),"Animal-derived: Berkhout et al. 2015/2016, murine neutropenic thigh/lung infection, dose-fractionation (Antimicrob Agents Chemother 60(1):368-75, doi:10.1128/AAC.01269-15, PMC4704241). Expressed in the source as %fT>C_T (percentage of the dosing interval free avibactam exceeds 1 mg/L), a time-above-threshold index, NOT a steady-state concentration -- and, per R3 (NOVELTY_ROUTES.md), the source study never tested continuous infusion, so there is no published data point at which this index was actually evaluated under the exposure this scenario borrows it for. Used here as a steady-state target only for comparability with T2-T7, not because the source validates that use."
T2_point_4,target,point mass,4 mg/L (EUCAST testing concentration),The manuscript's current primary scenario. A susceptibility-testing convention repurposed as a clinical target.
T3_discrete,target,"discrete, equal weights","{0.5, 1, 4} mg/L, 1/3 each","The three distinct constructs in the evidence: hollow-fibre regrowth threshold, regulatory target, EUCAST convention. Equal weights are an ANALYST CHOICE expressing no preference, not an evidence synthesis."
T4_uniform,target,uniform,"U(0.5, 4) mg/L",Agnostic across the defensible range. ANALYST-SPECIFIED bounds.
T5_triangular,target,triangular,"Tri(0.25, 4; mode 1) mg/L",Mass concentrated at the regulatory value. ANALYST-SPECIFIED.
T6_lognormal,target,lognormal,"median 1, 95th centile 4 mg/L",Smooth and right-skewed. ANALYST-SPECIFIED.
T7_coleman_evidence,target,"discrete, equal weights, EVIDENCE-DERIVED","{0.15, 0.22, 0.28} mg/L, 1/3 each","NOT analyst-specified. Coleman et al. 2014 (Antimicrob Agents Chemother 58(6):3366-72, doi:10.1128/AAC.00080-14, PMC4068505), Table 2: the avibactam concentration below which regrowth commenced, in the continuous-infusion-ceftazidime / single-bolus-avibactam hollow-fibre experiment. THREE strains (not eight -- eight strains were used elsewhere in the same paper, for a separate single-dose killing experiment that did not estimate this threshold): E. cloacae 293HT96 (CT <=0.15 mg/L at 12 h), K. pneumoniae 283CF5 (CT <=0.22 mg/L), K. pneumoniae Tunisie K4 (CT <=0.28 mg/L). A fourth Table 2 entry, a re-estimate of the SAME E. cloacae strain at 18-20 h (CT ~0.2 mg/L), is excluded here to avoid double-counting one strain; it is a rough within-strain check, not a fourth independent data point (0.15 vs ~0.2 at the two timepoints, same direction, same order of magnitude). This is deliberately NOT presented as a random-effects synthesis with an estimated between-strain variance: three points (one of them not fully independent) cannot support one. It is the plain empirical distribution over the three measured strains -- a new strain from the same source population is modelled as equally likely to resemble any of the three actually measured, no smoother and no more precise than that. All three source values are upper bounds ('<=', extrapolated from exponential-decline curves at the last pre-regrowth timepoint sampled), so using them as point values is itself a conservative (upward-biased) simplification of an already-small dataset. This is a distribution over an IN-VITRO REGROWTH THRESHOLD in a hollow-fibre model, not over the clinical target -- the gap between the two is exactly the problem T1-T6 already document, and this scenario does not close it."
C1_cojutti,clearance correlation,scenario,"0.94, published RSE 23.8%","Cojutti 2024, non-RRT ICU on continuous infusion. THE PRIMARY ANALYSIS — the manuscript's own assumption, with its own uncertainty."
C2_model1,clearance correlation,scenario,"0.703, profile-likelihood 0.380-0.874","Model 1, CRRT cohort on intermittent infusion. A DIFFERENT POPULATION. Sensitivity analysis only; not a replacement value."
C3_agnostic,clearance correlation,scenario,"U(0.38, 0.98)",Spans the union of both intervals. ANALYST-SPECIFIED.
cl0_caz,parameter uncertainty,distribution,,lognormal; RSE 6.36% (Cojutti 2024 Table 2)
exp_caz,parameter uncertainty,distribution,,normal; RSE 14.0% (Cojutti 2024 Table 2)
cl0_avi,parameter uncertainty,distribution,,lognormal; RSE 7.4% (Cojutti 2024 Table 2)
exp_avi,parameter uncertainty,distribution,,normal; RSE 12.3% (Cojutti 2024 Table 2)
omega_caz,parameter uncertainty,distribution,,lognormal on omega; RSE 33.3% reported on the variability term. Whether the reported RSE applies to omega or to omega-squared is not stated in the source; omega is assumed. SCENARIO ASSUMPTION.
omega_avi,parameter uncertainty,distribution,,lognormal on omega; RSE 30.1%. Same assumption as above.
fu_caz,parameter uncertainty,distribution,,"uniform(0.80, 0.90); no uncertainty is published, so the existing PSA scenario bounds are reused. SCENARIO ASSUMPTION, not a standard error."
fu_avi,parameter uncertainty,distribution,,"uniform(0.87, 0.97); as above."
rho,parameter uncertainty,distribution,,"scenario set, see model2_hujam.RHO_SCENARIOS. Never pooled across populations."
tox_threshold,parameter uncertainty,distribution,,"fixed at 104 mg/L; the exposure screen is an operational ceiling, not a validated toxicity threshold."
